timestamp,ax,ay,az,gx,gy,gz,upper_tilt,lower_tilt,label
2026-04-29T14:00:25.159238,1.05,-0.26,0.14,-7.04,2.44,0.67,82.6,0.0,perfect
2026-04-29T14:00:28.188798,1.04,-0.26,0.14,-4.2,2.09,-0.17,82.6,0.0,perfect
2026-04-29T14:00:29.832493,1.04,-0.26,0.14,-4.95,1.21,0.24,82.6,0.0,perfect
2026-04-29T14:00:31.199096,1.04,-0.27,0.15,-3.04,2.24,-1.11,82.1,0.0,perfect
2026-04-29T14:00:32.382172,1.04,-0.25,0.14,-6.03,1.73,-0.53,82.5,0.0,perfect
2026-04-29T14:00:33.835697,1.05,-0.25,0.14,-4.99,1.68,0.61,82.6,0.0,perfect
2026-04-29T14:00:34.928378,1.04,-0.26,0.15,-2.69,1.86,1.04,82.0,0.0,perfect
2026-04-29T14:00:36.041131,1.05,-0.28,0.14,-3.42,3.28,-1.19,82.7,0.0,perfect
2026-04-29T14:00:38.076972,1.04,-0.25,0.13,-4.5,2.52,-0.23,83.1,0.0,perfect
2026-04-29T14:00:39.952656,1.04,-0.23,0.18,-7.8,5.94,-1.86,80.4,0.0,perfect
2026-04-29T14:00:40.895281,1.05,-0.22,0.15,-6.93,3.73,-0.08,82.0,0.0,perfect
2026-04-29T14:00:41.966014,1.03,-0.23,0.17,-4.31,2.95,0.09,80.8,0.0,perfect
2026-04-29T14:00:43.233462,1.05,-0.24,0.15,-4.26,2.58,0.11,82.1,0.0,perfect
2026-04-29T14:00:44.581324,1.04,-0.23,0.17,-4.89,2.34,0.21,80.9,0.0,perfect
2026-04-29T14:00:49.399950,1.05,-0.24,0.16,-3.59,2.93,0.82,81.6,0.0,perfect
2026-04-29T14:00:50.727148,1.04,-0.24,0.14,-4.79,1.82,-0.32,82.5,0.0,perfect
2026-04-29T14:00:51.926583,1.05,-0.24,0.15,-4.32,2.72,1.13,82.1,0.0,perfect
2026-04-29T14:00:53.244067,1.04,-0.24,0.16,-4.05,3.19,-0.06,81.5,0.0,perfect
2026-04-29T14:00:54.402109,1.04,-0.24,0.16,-4.02,2.64,0.35,81.5,0.0,perfect
2026-04-29T14:00:56.558116,1.04,-0.24,0.17,-3.63,1.83,-0.24,81.0,0.0,perfect
2026-04-29T14:01:08.436033,1.05,-0.24,0.16,-4.84,2.9,0.4,81.6,0.0,good
2026-04-29T14:01:10.466890,1.04,-0.25,0.16,-3.98,3.21,0.56,81.5,0.0,good
2026-04-29T14:01:12.341347,1.04,-0.25,0.16,-4.17,2.82,-0.17,81.5,0.0,good
2026-04-29T14:01:14.062897,1.04,-0.24,0.17,-3.89,2.12,0.55,81.0,0.0,good
2026-04-29T14:01:15.520478,1.04,-0.25,0.16,-4.64,2.92,0.08,81.5,0.0,good
2026-04-29T14:01:16.970681,1.04,-0.25,0.17,-3.69,2.56,0.17,81.0,0.0,good
2026-04-29T14:01:18.565509,1.04,-0.25,0.17,-4.6,1.86,-0.46,81.0,0.0,good
2026-04-29T14:01:20.163499,1.05,-0.24,0.17,-2.89,3.57,0.46,81.0,0.0,good
2026-04-29T14:01:21.707625,1.03,-0.24,0.15,-2.76,3.33,0.06,81.9,0.0,good
2026-04-29T14:01:23.633897,1.04,-0.25,0.15,-3.91,2.92,0.9,82.0,0.0,good
2026-04-29T14:01:24.932980,1.04,-0.25,0.16,-3.68,2.89,0.21,81.5,0.0,good
2026-04-29T14:01:26.268116,1.05,-0.24,0.15,-3.76,2.56,0.52,82.1,0.0,good
2026-04-29T14:01:27.656407,1.03,-0.24,0.16,-2.73,3.4,0.32,81.4,0.0,good
2026-04-29T14:01:29.110794,1.05,-0.24,0.16,-3.97,2.79,0.09,81.6,0.0,good
2026-04-29T14:01:30.491171,1.04,-0.26,0.15,-4.47,1.28,-0.24,82.0,0.0,good
2026-04-29T14:01:31.705726,1.04,-0.25,0.15,-3.76,2.87,0.29,82.0,0.0,good
2026-04-29T14:01:33.037329,1.03,-0.25,0.16,-5.3,2.44,0.09,81.4,0.0,good
2026-04-29T14:01:34.011964,1.03,-0.26,0.16,-2.55,2.96,0.56,81.4,0.0,good
2026-04-29T14:01:35.108730,1.04,-0.25,0.16,-5.02,2.58,-0.18,81.5,0.0,good
2026-04-29T14:01:36.574570,1.04,-0.25,0.16,-3.3,3.36,0.31,81.5,0.0,good
2026-04-29T14:01:45.883862,1.04,-0.24,0.17,-3.54,3.18,0.69,81.0,0.0,ok
2026-04-29T14:01:49.091012,1.05,-0.25,0.13,-3.95,-0.87,0.99,83.1,0.0,ok
2026-04-29T14:01:52.880801,1.07,-0.25,0.06,-7.02,6.14,2.82,86.9,0.0,ok
2026-04-29T14:01:55.342601,1.03,-0.29,0.19,-2.89,7.56,1.88,79.9,0.0,ok
2026-04-29T14:01:56.632905,1.01,-0.26,0.29,-3.08,2.49,1.1,74.5,0.0,ok
2026-04-29T14:01:57.783648,1.01,-0.26,0.26,-4.27,0.34,0.2,76.0,0.0,ok
2026-04-29T14:01:59.010739,1.02,-0.25,0.24,-2.84,3.05,0.58,77.1,0.0,ok
2026-04-29T14:02:00.241433,1.01,-0.26,0.26,-2.7,2.23,0.56,76.0,0.0,ok
2026-04-29T14:02:01.381375,1.01,-0.26,0.25,-4.24,1.68,0.05,76.5,0.0,ok
2026-04-29T14:02:02.428601,1.0,-0.25,0.24,-4.84,3.68,0.31,76.9,0.0,ok
2026-04-29T14:02:03.747282,1.02,-0.26,0.24,-3.91,2.64,0.73,77.2,0.0,ok
2026-04-29T14:02:04.842116,1.01,-0.27,0.25,-4.6,2.09,0.34,76.6,0.0,ok
2026-04-29T14:02:05.966015,1.01,-0.26,0.25,-4.35,2.06,-0.29,76.5,0.0,ok
2026-04-29T14:02:07.121410,1.02,-0.27,0.25,-4.44,1.08,0.11,76.7,0.0,ok
2026-04-29T14:02:08.272968,1.01,-0.26,0.25,-4.11,2.89,0.46,76.5,0.0,ok
2026-04-29T14:02:09.491726,1.01,-0.26,0.25,-3.01,2.81,0.41,76.5,0.0,ok
2026-04-29T14:02:10.657447,1.01,-0.26,0.25,-4.27,2.93,-0.2,76.5,0.0,ok
2026-04-29T14:02:11.773025,1.02,-0.26,0.24,-4.46,2.06,-0.24,77.2,0.0,ok
2026-04-29T14:02:13.028375,1.01,-0.26,0.25,-4.49,2.2,0.32,76.5,0.0,ok
2026-04-29T14:02:38.823867,1.02,-0.26,0.24,-3.54,2.89,0.37,77.2,0.0,bad
2026-04-29T14:02:40.034039,1.02,-0.27,0.24,-3.88,2.11,0.53,77.2,0.0,bad
2026-04-29T14:02:41.844803,1.01,-0.27,0.24,-4.47,2.92,-0.38,77.1,0.0,bad
2026-04-29T14:02:43.050074,1.02,-0.26,0.24,-3.92,4.24,0.29,77.2,0.0,bad
2026-04-29T14:02:43.902232,1.01,-0.27,0.25,-3.69,2.27,0.49,76.6,0.0,bad
2026-04-29T14:02:44.829117,1.0,-0.27,0.26,-4.56,2.98,0.12,75.9,0.0,bad
2026-04-29T14:02:45.683624,1.01,-0.26,0.26,-3.94,2.82,0.29,76.0,0.0,bad
2026-04-29T14:02:46.647437,1.01,-0.26,0.25,-4.02,2.47,0.29,76.5,0.0,bad
2026-04-29T14:02:47.679426,1.01,-0.27,0.25,-3.85,2.53,0.12,76.6,0.0,bad
2026-04-29T14:02:48.638917,1.01,-0.27,0.26,-4.03,3.1,0.24,76.0,0.0,bad
2026-04-29T14:02:49.533593,1.01,-0.26,0.25,-4.29,2.6,0.2,76.5,0.0,bad
2026-04-29T14:02:50.328262,1.01,-0.26,0.25,-3.69,3.53,0.41,76.5,0.0,bad
2026-04-29T14:02:51.334559,1.01,-0.25,0.26,-4.38,2.02,0.35,76.0,0.0,bad
2026-04-29T14:02:52.218380,1.02,-0.26,0.24,-4.14,2.78,0.0,77.2,0.0,bad
2026-04-29T14:02:53.241043,1.0,-0.26,0.25,-3.71,3.25,0.43,76.4,0.0,bad
2026-04-29T14:02:54.199607,1.01,-0.27,0.24,-3.08,2.98,0.46,77.1,0.0,bad
2026-04-29T14:02:55.319405,1.02,-0.26,0.26,-4.08,2.75,-0.17,76.1,0.0,bad
2026-04-29T14:02:56.322239,1.01,-0.26,0.25,-3.94,2.29,0.21,76.5,0.0,bad
2026-04-29T14:02:57.258376,1.01,-0.26,0.25,-4.03,2.05,0.46,76.5,0.0,bad
2026-04-29T14:02:58.153410,1.02,-0.25,0.25,-4.26,2.46,0.14,76.6,0.0,bad
2026-04-29T14:03:08.346713,0.96,-0.26,0.39,-2.06,5.97,-0.4,68.6,0.0,alarming
2026-04-29T14:03:09.319769,0.97,-0.26,0.36,-4.37,1.1,0.0,70.3,0.0,alarming
2026-04-29T14:03:10.201115,0.97,-0.26,0.36,-4.34,3.01,-0.14,70.3,0.0,alarming
2026-04-29T14:03:11.445014,0.96,-0.26,0.36,-3.51,2.61,0.5,70.1,0.0,alarming
2026-04-29T14:03:16.721845,0.97,-0.26,0.37,-4.14,2.63,0.02,69.8,0.0,alarming
2026-04-29T14:03:17.651607,0.97,-0.27,0.36,-4.21,2.29,0.53,70.3,0.0,alarming
2026-04-29T14:03:19.090829,0.97,-0.26,0.35,-3.68,2.7,0.38,70.8,0.0,alarming
2026-04-29T14:03:20.093505,0.96,-0.27,0.36,-5.22,1.37,-0.34,70.2,0.0,alarming
2026-04-29T14:03:21.275193,0.97,-0.25,0.36,-3.98,3.13,-0.06,70.2,0.0,alarming
2026-04-29T14:03:22.599889,0.97,-0.26,0.36,-3.51,3.13,0.56,70.3,0.0,alarming
2026-04-29T14:03:23.692288,0.97,-0.25,0.37,-4.35,2.41,0.03,69.7,0.0,alarming
2026-04-29T14:03:24.797881,0.97,-0.26,0.37,-5.08,1.83,0.23,69.8,0.0,alarming
2026-04-29T14:03:26.343839,0.97,-0.26,0.37,-3.86,2.82,0.66,69.8,0.0,alarming
2026-04-29T14:03:28.709597,0.97,-0.26,0.35,-3.86,2.82,0.06,70.8,0.0,alarming
2026-04-29T14:03:30.171439,0.97,-0.25,0.36,-4.06,2.09,-0.06,70.2,0.0,alarming
2026-04-29T14:03:31.907532,0.98,-0.26,0.35,-3.63,3.05,0.11,71.0,0.0,alarming
2026-04-29T14:03:33.041594,0.96,-0.26,0.37,-3.92,3.04,0.67,69.6,0.0,alarming
2026-04-29T14:03:34.464793,0.97,-0.26,0.36,-4.0,2.4,-0.21,70.3,0.0,alarming
2026-04-29T14:03:35.962176,0.98,-0.26,0.35,-4.32,2.96,-0.12,71.0,0.0,alarming
2026-04-29T14:03:37.282882,0.98,-0.25,0.37,-3.83,3.05,0.23,69.9,0.0,alarming
2026-04-29T14:03:38.645219,0.96,-0.26,0.36,-3.6,3.15,0.55,70.1,0.0,alarming
2026-04-29T14:03:39.948671,0.97,-0.26,0.36,-4.27,2.55,0.05,70.3,0.0,alarming
2026-04-29T14:03:41.402079,0.97,-0.26,0.36,-3.95,2.85,0.29,70.3,0.0,alarming
2026-04-29T14:03:42.421194,0.97,-0.26,0.36,-3.66,3.77,0.69,70.3,0.0,alarming
2026-04-29T14:03:43.756101,0.97,-0.27,0.36,-3.76,2.08,0.34,70.3,0.0,alarming
2026-04-29T14:03:47.191751,0.96,-0.26,0.36,-3.6,3.21,0.21,70.1,0.0,alarming
2026-04-29T14:03:48.013800,0.97,-0.26,0.36,-4.52,2.53,0.23,70.3,0.0,alarming
2026-04-29T14:03:49.034940,0.97,-0.26,0.36,-4.27,2.08,0.46,70.3,0.0,alarming
2026-04-29T14:03:50.378752,0.97,-0.26,0.36,-3.56,2.89,0.11,70.3,0.0,alarming
2026-04-29T14:03:53.861803,0.97,-0.26,0.36,-4.6,3.04,0.24,70.3,0.0,alarming
2026-04-29T14:03:54.905118,0.96,-0.26,0.36,-3.89,2.24,0.2,70.1,0.0,alarming
2026-04-29T14:03:55.865012,0.98,-0.26,0.37,-4.41,2.5,0.11,70.0,0.0,alarming
2026-04-29T14:03:56.927746,0.98,-0.26,0.36,-4.55,3.02,-0.31,70.5,0.0,alarming
2026-04-29T14:03:57.904930,0.96,-0.26,0.36,-4.05,2.84,0.26,70.1,0.0,alarming
2026-04-29T14:03:58.877789,0.96,-0.26,0.37,-3.98,2.44,0.11,69.6,0.0,alarming
2026-04-29T14:03:59.912110,0.97,-0.26,0.36,-4.38,1.92,0.24,70.3,0.0,alarming
2026-04-29T14:04:00.931763,0.97,-0.25,0.37,-3.71,2.92,0.63,69.7,0.0,alarming
2026-04-29T14:04:01.767698,0.97,-0.26,0.36,-3.98,2.0,0.35,70.3,0.0,alarming
2026-04-29T14:04:02.757876,0.96,-0.25,0.37,-4.11,2.32,0.11,69.5,0.0,alarming
2026-04-29T14:04:03.748449,0.93,-0.25,0.44,-3.57,8.81,2.35,65.4,0.0,alarming
2026-04-29T14:04:04.799433,0.89,-0.24,0.51,-2.47,13.73,-1.53,61.0,0.0,alarming
2026-04-29T14:04:05.694363,0.92,-0.26,0.47,-7.77,1.79,-0.98,63.8,0.0,alarming
2026-04-29T14:04:06.489069,0.9,-0.27,0.5,-9.36,11.02,-5.16,62.0,0.0,alarming
2026-04-29T14:04:07.180191,0.9,-0.25,0.51,-4.46,2.35,0.26,61.4,0.0,alarming
2026-04-29T14:04:07.987627,0.88,-0.23,0.53,-5.34,2.95,-0.66,59.8,0.0,alarming
